DISTRICT_NAME,YEAR,CROP_TYPE,AUTUMN_HUMIDITY,SPRING_HUMIDITY,SUMMER_HUMIDITY,WINTER_HUMIDITY,AUTUMN_RAINFALL,SPRING_RAINFALL,SUMMER_RAINFALL,WINTER_RAINFALL,AUTUMN_TEMPERATURE,SPRING_TEMPERATURE,SUMMER_TEMPERATURE,WINTER_TEMPERATURE,AUTUMN_WIND_SPEED,SPRING_WIND_SPEED,SUMMER_WIND_SPEED,WINTER_WIND_SPEED,YIELD
ACHHAM,2015,BARLEY,7.63,7.88,14.77,4.66,22.81,233.14,701.47,91.68,16.02,18.26,22.18,9.8,1.98,2.3,2.16,2.03,1116.83
ACHHAM,2016,BARLEY,7.88,6.6,15.88,3.68,26.87,123.53,820.18,31.68,15.75,20.47,21.96,11.02,1.92,2.56,2.12,2.05,1097.03
ACHHAM,2017,BARLEY,8.75,6.56,15.59,4.26,4.86,152.7,874.79,30.38,15.57,19.78,22.22,11.18,1.87,2.44,2.16,2.03,1217.58
ACHHAM,2018,BARLEY,8.03,6.74,15.72,3.96,0.24,6.22,32.6,0.55,14.16,19.74,22.04,10.14,1.86,2.58,2.1,2.04,1219.73
ACHHAM,2019,BARLEY,9.07,6.83,15.34,4.7,0.82,3.0,27.72,7.68,15.37,18.6,22.42,8.2,1.74,2.46,2.13,1.97,1267.42
ARGHAKHANCHI,1981,BARLEY,9.14,7.46,17.06,5.08,48.38,141.62,1225.79,72.05,19.27,25.07,26.41,14.58,1.94,2.77,2.73,2.2,700.0
ARGHAKHANCHI,1982,BARLEY,8.49,7.1,16.04,4.76,15.06,88.13,811.7,87.85,20.18,24.77,27.25,14.51,2.07,3.15,2.57,2.31,900.0
ARGHAKHANCHI,1983,BARLEY,9.56,5.68,15.39,3.7,120.55,64.9,527.49,18.71,20.36,25.35,28.32,14.25,2.02,3.35,2.82,2.41,900.0
ARGHAKHANCHI,1984,BARLEY,7.93,5.29,17.0,3.82,27.6,21.18,918.14,35.67,19.98,27.16,26.27,14.45,2.01,3.42,2.67,2.48,888.89
ARGHAKHANCHI,1985,BARLEY,10.56,4.74,15.76,4.41,102.29,32.98,724.84,44.86,18.93,27.17,27.26,14.68,1.88,3.58,2.79,2.34,692.31
ARGHAKHANCHI,1986,BARLEY,6.98,5.07,15.3,4.42,25.21,30.82,604.41,47.94,20.41,25.76,27.06,14.88,2.12,3.28,2.74,2.42,714.29
ARGHAKHANCHI,1987,BARLEY,8.76,5.15,15.41,4.05,109.14,37.03,721.38,28.39,19.81,25.93,27.91,15.65,1.79,3.35,2.5,2.21,900.0
ARGHAKHANCHI,1988,BARLEY,8.86,5.58,17.44,4.36,13.66,65.56,1055.4,41.37,20.84,26.69,26.64,15.95,1.96,3.1,2.55,2.24,940.0
ARGHAKHANCHI,1990,BARLEY,9.0,5.86,17.16,4.17,10.79,35.83,1077.18,39.44,20.64,26.0,26.54,15.91,1.96,3.15,2.58,2.42,1000.0
ARGHAKHANCHI,1991,BARLEY,7.17,4.28,16.59,3.99,3.48,34.74,608.97,41.05,20.16,27.17,27.56,15.63,2.2,3.33,2.78,2.45,900.0
ARGHAKHANCHI,1992,BARLEY,8.52,4.55,15.36,3.91,87.51,19.55,645.37,3.92,20.56,26.72,27.4,14.67,2.11,4.19,2.74,2.33,306.67
ARGHAKHANCHI,1993,BARLEY,7.03,5.3,15.98,3.37,1.86,70.85,607.45,8.26,21.0,25.28,27.52,15.63,2.08,3.26,2.75,2.35,930.0
ARGHAKHANCHI,1994,BARLEY,7.04,4.71,16.33,3.72,5.69,11.39,636.29,31.4,20.78,26.96,27.72,15.6,2.16,3.4,2.66,2.52,1727.83
ARGHAKHANCHI,1995,BARLEY,7.94,4.69,16.74,3.77,42.06,13.19,663.11,32.91,21.3,27.01,27.26,14.96,2.11,3.66,2.68,2.53,948.28
ARGHAKHANCHI,1996,BARLEY,8.26,5.36,16.55,3.93,60.83,49.66,586.52,77.79,20.44,26.79,27.09,14.98,2.14,3.45,2.52,2.43,1000.0
ARGHAKHANCHI,1997,BARLEY,7.15,4.88,15.3,3.43,15.71,40.41,342.45,33.01,20.96,25.5,28.13,14.35,2.22,3.3,2.8,2.49,1000.0
ARGHAKHANCHI,1998,BARLEY,10.43,6.06,17.09,3.81,59.75,52.55,790.87,7.95,21.87,25.76,27.35,14.98,1.94,3.12,2.77,2.39,1592.16
ARGHAKHANCHI,1999,BARLEY,7.73,4.55,15.91,3.76,64.71,52.37,375.09,15.68,21.06,27.11,27.94,16.2,2.16,3.4,2.76,2.41,1000.0
ARGHAKHANCHI,2000,BARLEY,8.45,5.54,17.26,3.17,4.4,67.89,822.62,8.67,20.99,26.58,26.47,14.99,2.05,3.15,2.6,2.47,1000.0
ARGHAKHANCHI,2001,BARLEY,8.96,6.07,17.01,3.42,46.34,70.76,668.24,0.5,20.88,26.35,27.34,15.29,2.04,3.08,2.37,2.31,1000.0
ARGHAKHANCHI,2002,BARLEY,7.58,6.08,15.04,4.11,11.57,40.25,339.48,54.01,21.69,26.75,28.66,15.44,2.22,3.09,2.75,2.39,1000.0
ARGHAKHANCHI,2003,BARLEY,7.96,4.98,16.41,4.38,16.27,19.43,514.94,37.67,21.04,26.25,27.74,14.92,2.12,3.07,2.68,2.32,1000.0
ARGHAKHANCHI,2004,BARLEY,8.88,6.41,17.52,4.74,55.28,96.13,1025.48,36.22,19.7,27.12,25.96,15.1,1.85,3.19,2.62,2.17,1000.0
ARGHAKHANCHI,2005,BARLEY,10.18,5.9,16.77,5.11,212.3,56.1,1044.31,48.63,19.4,25.98,26.96,15.24,1.77,3.04,2.58,2.35,1000.0
ARGHAKHANCHI,2006,BARLEY,9.93,7.9,17.85,4.99,42.55,202.8,1046.31,10.72,20.43,25.24,25.96,16.11,1.86,2.7,2.42,2.32,1099.21
ARGHAKHANCHI,2007,BARLEY,11.1,8.48,17.39,4.95,42.88,134.03,1314.52,120.06,19.75,25.33,26.55,14.25,1.65,2.81,2.58,2.14,1051.55
ARGHAKHANCHI,2008,BARLEY,11.64,6.51,18.4,5.36,43.45,107.81,1807.53,10.08,20.03,25.9,25.3,14.73,1.65,2.87,2.34,2.05,973.2
ARGHAKHANCHI,2009,BARLEY,9.59,6.68,16.98,5.03,103.36,135.26,952.05,9.7,19.95,26.03,27.06,15.86,2.1,3.01,2.39,2.35,1000.0
ARGHAKHANCHI,2010,BARLEY,12.02,6.09,17.16,4.83,48.24,33.53,1231.97,22.92,20.28,27.91,27.0,15.08,1.8,3.35,2.7,2.16,1222.68
ARGHAKHANCHI,2011,BARLEY,11.1,7.62,17.72,5.01,6.2,144.21,1250.54,24.97,20.14,25.43,26.05,14.32,1.78,2.89,2.58,2.17,1200.0
ARGHAKHANCHI,2012,BARLEY,10.36,5.63,16.65,5.13,42.14,39.28,1312.65,47.44,18.6,26.19,27.16,14.25,1.76,3.26,2.49,2.37,1200.0
ARGHAKHANCHI,2013,BARLEY,11.83,7.35,18.33,5.96,203.65,118.85,1546.85,90.81,19.74,25.62,25.66,14.07,1.83,3.13,2.24,2.24,1200.0
ARGHAKHANCHI,2014,BARLEY,10.4,7.15,17.48,5.72,124.38,98.17,1393.87,75.26,19.72,25.79,27.03,14.45,1.88,3.23,2.34,2.25,1200.0
ARGHAKHANCHI,2015,BARLEY,9.2,8.76,17.17,5.61,35.29,223.68,1129.95,57.51,21.44,24.89,27.01,15.25,1.94,2.85,2.46,2.21,1118.64
ARGHAKHANCHI,2016,BARLEY,10.48,6.95,18.5,4.6,113.39,171.64,1282.51,10.61,20.54,27.19,26.34,16.14,1.85,3.39,2.3,2.34,1559.06
ARGHAKHANCHI,2017,BARLEY,11.1,7.74,18.34,5.28,22.48,184.72,1341.83,21.02,21.16,26.1,26.76,16.54,1.9,2.79,2.53,2.23,1729.26
ARGHAKHANCHI,2018,BARLEY,9.46,8.17,18.51,4.63,0.03,7.33,43.72,0.34,20.16,25.74,26.44,15.11,2.04,2.91,2.58,2.28,1767.12
ARGHAKHANCHI,2019,BARLEY,11.92,7.53,18.05,5.71,0.96,4.01,42.83,5.43,19.94,25.6,26.99,14.39,1.71,3.01,2.63,2.3,1930.0
BAGLUNG,1981,BARLEY,6.99,6.29,13.51,3.75,39.03,151.52,941.49,63.0,11.14,14.72,18.39,5.93,1.75,2.46,2.23,1.85,900.0
BAGLUNG,1982,BARLEY,6.7,5.85,12.94,3.58,10.89,64.04,660.38,83.15,11.38,14.42,18.66,6.06,1.82,2.56,2.23,1.84,900.0
BAGLUNG,1983,BARLEY,7.03,5.02,12.61,2.73,108.24,71.37,407.71,9.55,11.76,14.63,19.28,5.63,1.85,2.76,2.36,1.92,866.67
BAGLUNG,1984,BARLEY,6.36,4.58,13.67,2.8,23.76,25.23,826.21,27.91,11.37,16.79,18.07,6.22,1.83,2.84,2.25,1.98,800.0
BAGLUNG,1985,BARLEY,7.93,4.29,12.84,3.34,80.75,30.48,612.03,47.32,11.11,16.71,18.62,6.2,1.72,2.84,2.32,1.91,760.0
BAGLUNG,1986,BARLEY,5.43,4.4,12.49,3.12,25.42,34.23,487.19,42.84,11.71,15.0,18.47,6.45,1.96,2.79,2.3,1.99,909.09
BAGLUNG,1987,BARLEY,6.37,4.4,12.52,2.99,101.03,34.29,605.94,19.01,11.9,15.36,19.31,7.56,1.78,2.75,2.35,1.97,800.0
BAGLUNG,1988,BARLEY,6.86,4.86,13.82,3.34,12.97,81.52,798.31,34.52,11.92,16.12,18.59,7.84,1.84,2.78,2.23,1.92,878.05
BAGLUNG,1990,BARLEY,7.17,5.12,13.63,3.23,8.95,33.17,820.41,27.51,11.96,15.16,18.66,7.66,1.84,2.74,2.22,1.93,880.95
BAGLUNG,1991,BARLEY,5.46,3.89,13.48,3.06,3.55,40.51,424.9,38.34,11.72,16.29,19.03,6.79,1.95,2.86,2.37,1.97,883.72
BAGLUNG,1992,BARLEY,6.72,3.91,12.52,2.92,77.86,18.27,502.93,3.44,11.92,16.34,18.69,6.32,1.86,3.0,2.37,1.95,275.17
BAGLUNG,1993,BARLEY,5.42,4.64,13.13,2.57,3.87,71.62,466.56,7.86,12.58,14.79,18.94,7.61,1.98,2.79,2.38,1.98,958.78
BAGLUNG,1994,BARLEY,5.49,4.15,13.22,2.69,3.16,13.32,475.24,20.73,11.82,16.27,19.28,6.98,2.04,2.88,2.3,2.08,3532.5
BAGLUNG,1995,BARLEY,6.1,4.25,13.52,2.83,37.63,26.57,535.74,22.85,12.56,16.19,18.85,6.08,1.98,2.91,2.3,2.05,1500.0
BAGLUNG,1996,BARLEY,6.41,4.72,13.39,2.8,42.6,71.8,460.23,58.75,12.16,16.21,18.46,6.83,1.88,2.82,2.26,2.0,965.25
BAGLUNG,1997,BARLEY,5.43,4.33,12.6,2.5,4.67,38.79,259.9,21.53,11.72,14.73,19.36,5.78,2.02,2.74,2.5,2.06,510.67
BAGLUNG,1998,BARLEY,7.84,5.11,13.72,2.69,47.06,48.11,574.51,4.16,13.62,15.61,19.37,7.16,1.84,2.73,2.4,2.03,4153.85
BAGLUNG,1999,BARLEY,5.82,4.02,13.07,2.66,50.86,56.42,286.89,11.23,12.73,16.83,19.2,8.05,1.96,2.87,2.46,2.05,1333.33
BAGLUNG,2000,BARLEY,6.64,4.84,13.81,2.44,8.24,59.97,611.2,6.05,12.58,15.88,18.36,6.53,1.9,2.76,2.29,2.04,1216.22
BAGLUNG,2001,BARLEY,6.77,5.37,13.79,2.51,18.85,71.9,527.13,0.29,12.72,15.6,19.02,7.56,1.88,2.67,2.29,2.02,1135.14
BAGLUNG,2002,BARLEY,5.78,5.27,12.49,2.88,11.41,45.87,273.56,42.01,12.74,16.13,19.39,7.16,2.05,2.71,2.44,1.99,1237.84
BAGLUNG,2003,BARLEY,5.92,4.48,13.36,3.02,15.84,19.38,396.66,40.7,12.86,15.57,19.22,6.75,1.94,2.72,2.39,2.0,991.51
BAGLUNG,2004,BARLEY,7.12,5.63,14.06,3.51,71.38,130.02,982.19,29.57,10.84,16.61,17.97,7.09,1.72,2.68,2.12,1.86,991.51
BAGLUNG,2005,BARLEY,7.33,5.21,13.47,3.86,203.86,57.1,882.89,51.67,10.86,15.15,18.8,6.54,1.64,2.55,2.23,1.81,1017.54
BAGLUNG,2006,BARLEY,7.55,6.58,14.24,3.89,41.2,202.32,929.1,15.49,11.6,14.79,18.1,8.59,1.76,2.44,2.11,1.84,1170.73
BAGLUNG,2007,BARLEY,8.2,6.96,14.09,3.66,42.61,128.91,1099.28,112.47,11.9,15.01,18.46,6.38,1.64,2.35,2.23,1.79,1479.61
BAGLUNG,2008,BARLEY,8.52,5.66,14.39,4.08,46.92,117.48,1496.03,10.07,12.2,15.25,17.75,6.67,1.63,2.58,2.04,1.79,1479.8
BAGLUNG,2009,BARLEY,7.22,5.68,13.65,3.75,79.57,145.99,822.14,7.12,11.7,15.59,18.71,8.06,1.76,2.57,2.21,1.98,1259.41
BAGLUNG,2010,BARLEY,8.82,5.33,13.76,3.49,44.87,34.37,1010.25,17.3,12.42,17.27,18.8,7.05,1.67,2.78,2.32,1.94,1258.71
BAGLUNG,2011,BARLEY,8.62,6.43,14.07,3.73,12.64,163.87,1067.64,18.22,12.02,14.98,18.15,6.44,1.68,2.5,2.18,1.87,1257.46
BAGLUNG,2012,BARLEY,7.4,5.01,13.48,3.79,69.09,47.14,1276.44,34.35,10.82,15.49,18.93,6.09,1.76,2.74,2.28,1.93,1250.51
BAGLUNG,2013,BARLEY,8.74,6.31,14.49,4.27,214.67,168.16,1429.04,82.51,12.0,15.29,17.94,6.03,1.65,2.66,2.12,1.87,1249.74
BAGLUNG,2014,BARLEY,7.94,6.39,14.22,4.29,116.02,143.89,1659.2,63.69,11.82,15.0,18.59,6.63,1.74,2.56,2.18,1.81,1249.74
BAGLUNG,2015,BARLEY,7.82,7.44,14.15,4.47,79.48,318.84,1502.91,62.72,12.36,14.11,18.55,6.4,1.71,2.28,2.15,1.84,1165.98
BAGLUNG,2016,BARLEY,8.22,6.34,14.86,3.98,168.33,207.84,1522.94,10.92,12.56,16.12,18.34,7.93,1.7,2.56,2.17,1.82,1299.09
BAGLUNG,2017,BARLEY,8.86,7.08,14.74,4.23,49.79,348.84,1466.45,13.94,12.62,14.61,18.57,8.14,1.78,2.29,2.22,1.85,1444.16
BAGLUNG,2018,BARLEY,7.4,7.2,14.88,3.77,0.08,12.89,39.0,0.38,11.33,14.77,18.37,7.07,1.8,2.39,2.09,1.87,1436.86
BAGLUNG,2019,BARLEY,9.01,6.8,14.58,4.27,2.65,8.83,44.24,5.95,12.49,14.43,18.55,5.46,1.62,2.38,2.14,1.84,1468.99
BAITADI,1981,BARLEY,4.29,5.05,11.2,2.76,31.95,148.29,514.35,70.54,6.82,10.49,15.62,0.89,2.04,2.49,2.3,2.06,800.0
BAITADI,1982,BARLEY,4.69,5.55,10.39,2.71,5.16,91.68,317.28,84.61,7.56,9.28,15.74,1.3,2.02,2.58,2.45,1.95,790.7
BAITADI,1983,BARLEY,4.86,4.66,10.72,2.3,52.21,78.98,431.18,25.65,7.04,9.49,16.01,0.85,1.99,2.67,2.36,2.02,1000.0
BAITADI,1984,BARLEY,3.82,4.09,11.46,2.22,6.45,26.56,334.38,58.1,7.51,11.98,15.7,0.76,2.13,2.81,2.45,2.1,800.0
BAITADI,1985,BARLEY,5.5,3.8,11.05,2.37,63.67,52.04,387.47,66.12,7.22,12.01,15.69,1.12,1.92,2.78,2.42,2.11,636.36
BAITADI,1986,BARLEY,4.36,4.16,10.4,2.46,10.13,61.58,474.42,50.01,7.32,10.03,15.37,1.52,2.02,2.73,2.36,2.08,805.56
BAITADI,1987,BARLEY,3.06,4.3,9.34,2.24,18.73,65.13,158.42,34.52,8.9,10.36,17.02,3.11,2.17,2.63,2.66,2.07,742.86
BAITADI,1988,BARLEY,4.46,3.83,11.37,2.62,0.65,56.92,377.5,96.89,8.2,11.59,16.08,3.17,2.15,2.79,2.43,1.97,828.57
BAITADI,1990,BARLEY,4.47,4.79,11.4,2.55,3.28,57.52,297.26,63.79,8.2,10.24,16.39,3.34,2.08,2.62,2.44,2.02,845.07
BAITADI,1991,BARLEY,3.45,3.84,10.61,2.46,1.55,82.29,182.86,34.77,7.5,10.88,16.57,1.96,2.13,2.72,2.58,2.03,914.29
BAITADI,1992,BARLEY,4.55,3.5,10.38,2.34,46.43,17.7,230.59,7.47,7.99,11.04,16.0,2.35,2.04,2.73,2.61,2.03,750.0
BAITADI,1993,BARLEY,3.31,4.0,10.86,2.07,0.02,51.7,196.17,22.33,8.73,10.16,16.28,3.27,2.21,2.73,2.56,2.07,828.92
BAITADI,1994,BARLEY,4.4,3.84,11.08,2.44,0.04,22.56,291.86,38.59,7.76,11.42,16.4,2.05,2.13,2.8,2.42,2.1,879.52
BAITADI,1995,BARLEY,4.67,3.97,10.88,2.52,17.08,18.56,251.85,58.09,8.36,11.07,16.47,0.9,2.11,2.68,2.6,2.09,879.52
BAITADI,1996,BARLEY,4.86,4.41,11.62,2.35,13.05,50.33,323.29,73.64,7.98,11.23,15.89,2.3,2.01,2.68,2.5,2.03,1000.0
BAITADI,1997,BARLEY,4.53,4.21,11.26,2.19,12.16,61.8,247.15,65.38,6.82,9.77,16.15,0.78,2.0,2.63,2.54,2.12,830.0
BAITADI,1998,BARLEY,5.47,4.52,11.5,2.36,49.72,88.93,213.77,7.67,9.31,10.85,16.93,2.6,2.1,2.63,2.6,2.07,1323.53
BAITADI,1999,BARLEY,3.85,3.08,11.0,2.13,16.69,18.44,192.23,20.62,8.64,12.3,16.53,3.34,2.16,2.86,2.59,2.11,900.0
BAITADI,2000,BARLEY,4.42,4.12,11.94,2.07,0.65,89.71,433.86,23.28,8.57,11.47,15.36,1.86,2.08,2.73,2.33,2.09,800.0
BAITADI,2001,BARLEY,4.22,4.45,11.72,1.93,10.58,58.63,424.13,5.59,8.9,10.92,15.76,3.1,2.11,2.64,2.37,2.06,800.0
BAITADI,2002,BARLEY,4.41,4.14,10.12,2.36,5.19,28.93,263.43,96.5,8.18,11.91,16.3,2.06,2.1,2.72,2.53,2.1,800.0
BAITADI,2003,BARLEY,4.56,4.0,11.4,2.6,30.19,14.9,486.63,52.23,7.95,11.03,16.23,2.05,1.97,2.71,2.4,2.08,942.86
BAITADI,2004,BARLEY,5.01,4.61,11.42,2.66,35.1,109.23,493.09,29.27,7.1,12.39,15.32,2.86,1.94,2.71,2.31,2.01,1200.0
BAITADI,2005,BARLEY,5.12,4.91,11.48,2.81,8.37,93.69,662.5,70.29,7.3,10.35,15.88,1.31,1.88,2.55,2.3,2.01,1000.0
BAITADI,2006,BARLEY,5.43,5.61,11.8,2.73,19.2,147.55,519.0,24.37,7.9,10.33,15.47,4.32,1.96,2.49,2.27,1.99,1000.0
BAITADI,2007,BARLEY,5.2,5.86,12.2,2.55,2.7,169.68,703.14,89.55,7.81,10.37,15.67,1.86,1.9,2.43,2.32,1.98,1000.0
BAITADI,2008,BARLEY,6.01,4.72,12.43,2.83,15.14,79.74,756.5,12.66,8.38,10.82,14.93,2.22,1.81,2.58,2.17,1.99,1000.0
BAITADI,2009,BARLEY,5.3,4.52,10.92,2.76,107.1,43.71,514.34,16.92,7.32,11.31,16.23,3.59,1.9,2.68,2.43,2.01,1000.0
BAITADI,2010,BARLEY,6.42,4.39,11.43,2.74,38.76,23.08,831.57,46.13,8.24,12.82,15.82,2.19,1.84,2.75,2.32,2.11,1032.11
BAITADI,2011,BARLEY,6.24,5.54,12.2,2.89,4.15,80.75,853.05,62.13,8.31,10.34,15.17,1.42,1.88,2.52,2.18,1.97,1090.91
BAITADI,2012,BARLEY,6.01,4.56,11.56,3.03,5.06,45.35,541.81,48.33,7.24,10.41,16.31,0.81,1.89,2.56,2.48,1.99,1600.0
BAITADI,2013,BARLEY,6.67,5.52,13.1,3.53,36.79,30.3,830.38,187.4,8.34,11.15,15.38,1.07,1.82,2.61,2.42,1.99,1800.0
BAITADI,2014,BARLEY,5.8,5.63,11.92,3.15,38.68,85.38,492.42,135.83,8.34,10.06,16.28,1.66,2.01,2.52,2.54,2.0,1650.0
BAITADI,2015,BARLEY,5.67,6.38,11.76,3.42,18.37,227.43,408.12,99.08,9.26,9.78,15.88,2.24,2.02,2.3,2.44,2.07,620.0
BAITADI,2016,BARLEY,5.26,5.68,12.71,2.54,4.51,109.21,473.22,28.5,9.37,11.93,15.99,4.18,2.08,2.58,2.49,2.0,620.0
BAITADI,2017,BARLEY,6.17,5.58,12.57,3.04,1.08,156.5,572.44,32.44,8.65,11.1,15.96,3.76,2.0,2.56,2.43,2.12,688.89
BAITADI,2018,BARLEY,5.54,5.31,12.6,2.75,0.53,4.16,18.77,0.63,7.32,11.48,16.05,3.13,1.9,2.66,2.45,2.07,676.84
BAITADI,2019,BARLEY,5.98,5.5,12.11,3.23,1.21,2.89,15.65,7.43,8.55,10.02,16.23,-0.06,1.92,2.49,2.41,2.14,700.56
BAJHANG,1981,BARLEY,3.78,4.64,9.78,2.37,29.41,155.03,451.38,74.64,2.32,5.14,11.73,-4.35,2.19,2.56,2.49,2.25,901.41
BAJHANG,1982,BARLEY,3.99,4.76,9.1,2.25,3.75,55.18,241.82,79.19,3.24,4.41,11.76,-3.81,2.16,2.8,2.68,2.2,887.32
BAJHANG,1983,BARLEY,4.24,4.19,9.32,1.94,50.56,85.52,376.99,21.05,2.72,4.39,12.04,-3.99,2.09,2.88,2.58,2.29,900.0
BAJHANG,1984,BARLEY,3.17,3.84,9.9,1.93,7.45,28.41,255.76,60.92,3.08,6.56,12.1,-4.25,2.33,2.93,2.72,2.44,901.23
