DISTRICT_NAME,YEAR,CROP_TYPE,AREA,PRODUCTION,YIELD,AUTUMN_HUMIDITY,SPRING_HUMIDITY,SUMMER_HUMIDITY,WINTER_HUMIDITY,AUTUMN_RAINFALL,SPRING_RAINFALL,SUMMER_RAINFALL,WINTER_RAINFALL,AUTUMN_TEMPERATURE,SPRING_TEMPERATURE,SUMMER_TEMPERATURE,WINTER_TEMPERATURE,AUTUMN_WIND_SPEED,SPRING_WIND_SPEED,SUMMER_WIND_SPEED,WINTER_WIND_SPEED
ACHHAM,1994,PADDY,6700.0,12000.0,1791.0,5.74,4.39,13.87,3.16,0.52,21.4,403.4,44.09,15.02,20.13,23.0,9.81,2.16,2.85,2.22,2.2
ACHHAM,1995,PADDY,6700.0,13471.0,2011.0,6.21,4.42,13.68,3.28,17.76,11.91,408.63,47.48,15.7,19.98,22.94,9.02,2.09,2.74,2.28,2.16
ACHHAM,1996,PADDY,6700.0,13500.0,2015.0,6.8,4.96,14.26,3.14,24.36,39.71,413.12,78.63,15.06,20.02,22.25,9.77,2.0,2.76,2.22,2.14
ACHHAM,1997,PADDY,6750.0,14570.0,2159.0,5.8,4.64,13.5,2.9,12.9,38.12,286.14,67.23,14.67,18.58,22.88,8.59,2.01,2.71,2.3,2.16
ACHHAM,1998,PADDY,6800.0,16200.0,2382.0,7.64,5.39,14.16,3.19,52.3,84.06,323.11,10.77,16.66,19.08,23.25,9.78,2.01,2.64,2.34,2.04
ACHHAM,1999,PADDY,6750.0,14570.0,2159.0,5.49,3.57,13.53,2.86,28.31,28.23,280.23,21.74,15.72,20.79,23.05,10.66,2.12,2.92,2.27,2.14
ACHHAM,2000,PADDY,6914.0,15279.0,2210.0,6.62,4.81,14.96,2.79,0.52,97.57,661.72,25.05,15.18,20.01,21.42,9.34,2.0,2.75,2.06,2.14
ACHHAM,2001,PADDY,6992.0,16781.0,2400.0,6.04,5.11,14.72,2.64,23.26,49.38,563.16,2.66,15.84,19.55,22.18,10.36,2.05,2.66,2.05,2.14
ACHHAM,2002,PADDY,6910.0,15270.0,2210.0,6.01,4.8,12.64,3.26,7.02,23.83,324.64,99.99,15.65,20.49,23.36,9.8,2.12,2.72,2.26,2.13
ACHHAM,2003,PADDY,6910.0,15270.0,2210.0,6.6,4.55,14.12,3.62,32.56,9.94,577.29,54.97,15.12,19.53,22.64,9.54,1.98,2.71,2.11,2.08
ACHHAM,2004,PADDY,6910.0,15270.0,2210.0,7.06,5.54,14.6,3.86,39.38,141.95,701.02,32.07,13.9,20.75,21.56,9.98,1.88,2.7,2.02,1.99
ACHHAM,2005,PADDY,6910.0,15270.0,2210.0,7.66,5.94,14.26,4.06,32.01,107.1,940.0,81.21,14.09,18.81,22.26,9.11,1.81,2.5,2.08,2.03
ACHHAM,2006,PADDY,7480.0,14960.0,2000.0,7.65,6.98,15.04,3.93,24.25,169.53,805.24,23.72,14.8,18.6,21.55,11.47,1.93,2.36,1.94,2.04
ACHHAM,2007,PADDY,7480.0,14960.0,2000.0,8.15,7.56,15.24,3.83,5.09,211.98,1051.14,120.59,14.47,18.57,21.7,9.32,1.76,2.38,2.01,2.03
ACHHAM,2008,PADDY,7480.0,14960.0,2000.0,8.97,5.76,15.61,4.22,12.03,98.62,1185.81,13.82,14.9,19.26,20.79,9.53,1.68,2.54,1.86,1.93
ACHHAM,2009,PADDY,7450.0,13700.0,1839.0,7.74,5.69,13.92,4.16,144.49,54.96,759.38,20.88,14.24,19.7,22.75,10.69,1.87,2.6,2.17,2.03
ACHHAM,2010,PADDY,7570.0,18000.0,2378.0,9.45,5.37,14.38,4.15,50.3,39.11,1093.79,49.7,15.12,21.27,22.3,9.57,1.76,2.72,2.04,2.0
ACHHAM,2011,PADDY,11570.0,18000.0,1556.0,9.26,6.8,15.3,4.34,1.6,92.78,1311.34,72.02,14.75,18.66,21.36,8.87,1.73,2.49,1.92,1.98
ACHHAM,2012,PADDY,12569.0,31138.0,2477.0,8.54,5.52,14.32,4.44,5.53,46.86,863.68,69.55,14.15,18.98,22.68,8.62,1.82,2.57,2.2,2.02
ACHHAM,2013,PADDY,16572.0,34795.0,2100.0,9.64,6.62,16.2,5.17,65.66,35.84,1299.15,187.44,15.08,19.77,21.22,8.85,1.72,2.54,2.09,1.96
ACHHAM,2014,PADDY,16500.0,34795.0,2109.0,8.16,6.75,14.59,4.66,42.77,75.47,809.52,120.54,15.04,18.9,22.72,9.36,1.92,2.48,2.2,1.96
ACHHAM,2015,PADDY,16571.0,31539.0,1903.0,7.63,7.88,14.77,4.66,22.81,233.14,701.47,91.68,16.02,18.26,22.18,9.8,1.98,2.3,2.16,2.03
ACHHAM,2016,PADDY,16580.0,34818.0,2100.0,7.88,6.6,15.88,3.68,26.87,123.53,820.18,31.68,15.75,20.47,21.96,11.02,1.92,2.56,2.12,2.05
ACHHAM,2017,PADDY,15694.0,34296.0,2185.0,8.75,6.56,15.59,4.26,4.86,152.7,874.79,30.38,15.57,19.78,22.22,11.18,1.87,2.44,2.16,2.03
ACHHAM,2018,PADDY,15467.0,34955.0,2260.0,8.03,6.74,15.72,3.96,0.24,6.22,32.6,0.55,14.16,19.74,22.04,10.14,1.86,2.58,2.1,2.04
ACHHAM,2019,PADDY,16580.0,34818.0,2100.0,9.07,6.83,15.34,4.7,0.82,3.0,27.72,7.68,15.37,18.6,22.42,8.2,1.74,2.46,2.13,1.97
ARGHAKHANCHI,1981,PADDY,1790.0,3580.0,2000.0,9.14,7.46,17.06,5.08,48.38,141.62,1225.79,72.05,19.27,25.07,26.41,14.58,1.94,2.77,2.73,2.2
ARGHAKHANCHI,1982,PADDY,1690.0,3090.0,1828.0,8.49,7.1,16.04,4.76,15.06,88.13,811.7,87.85,20.18,24.77,27.25,14.51,2.07,3.15,2.57,2.31
ARGHAKHANCHI,1983,PADDY,1700.0,3500.0,2059.0,9.56,5.68,15.39,3.7,120.55,64.9,527.49,18.71,20.36,25.35,28.32,14.25,2.02,3.35,2.82,2.41
ARGHAKHANCHI,1984,PADDY,3020.0,5440.0,1801.0,7.93,5.29,17.0,3.82,27.6,21.18,918.14,35.67,19.98,27.16,26.27,14.45,2.01,3.42,2.67,2.48
ARGHAKHANCHI,1985,PADDY,3050.0,6100.0,2000.0,10.56,4.74,15.76,4.41,102.29,32.98,724.84,44.86,18.93,27.17,27.26,14.68,1.88,3.58,2.79,2.34
ARGHAKHANCHI,1986,PADDY,3040.0,5480.0,1803.0,6.98,5.07,15.3,4.42,25.21,30.82,604.41,47.94,20.41,25.76,27.06,14.88,2.12,3.28,2.74,2.42
ARGHAKHANCHI,1987,PADDY,4100.0,7430.0,1812.0,8.76,5.15,15.41,4.05,109.14,37.03,721.38,28.39,19.81,25.93,27.91,15.65,1.79,3.35,2.5,2.21
ARGHAKHANCHI,1988,PADDY,4550.0,8660.0,1903.0,8.86,5.58,17.44,4.36,13.66,65.56,1055.4,41.37,20.84,26.69,26.64,15.95,1.96,3.1,2.55,2.24
ARGHAKHANCHI,1990,PADDY,4820.0,9670.0,2006.0,9.0,5.86,17.16,4.17,10.79,35.83,1077.18,39.44,20.64,26.0,26.54,15.91,1.96,3.15,2.58,2.42
ARGHAKHANCHI,1991,PADDY,4810.0,9270.0,1927.0,7.17,4.28,16.59,3.99,3.48,34.74,608.97,41.05,20.16,27.17,27.56,15.63,2.2,3.33,2.78,2.45
ARGHAKHANCHI,1992,PADDY,4750.0,8970.0,1888.0,8.52,4.55,15.36,3.91,87.51,19.55,645.37,3.92,20.56,26.72,27.4,14.67,2.11,4.19,2.74,2.33
ARGHAKHANCHI,1993,PADDY,6630.0,13961.0,2106.0,7.03,5.3,15.98,3.37,1.86,70.85,607.45,8.26,21.0,25.28,27.52,15.63,2.08,3.26,2.75,2.35
ARGHAKHANCHI,1994,PADDY,6659.0,14000.0,2102.0,7.04,4.71,16.33,3.72,5.69,11.39,636.29,31.4,20.78,26.96,27.72,15.6,2.16,3.4,2.66,2.52
ARGHAKHANCHI,1995,PADDY,7150.0,14972.0,2094.0,7.94,4.69,16.74,3.77,42.06,13.19,663.11,32.91,21.3,27.01,27.26,14.96,2.11,3.66,2.68,2.53
ARGHAKHANCHI,1996,PADDY,7150.0,15000.0,2098.0,8.26,5.36,16.55,3.93,60.83,49.66,586.52,77.79,20.44,26.79,27.09,14.98,2.14,3.45,2.52,2.43
ARGHAKHANCHI,1997,PADDY,7150.0,15000.0,2098.0,7.15,4.88,15.3,3.43,15.71,40.41,342.45,33.01,20.96,25.5,28.13,14.35,2.22,3.3,2.8,2.49
ARGHAKHANCHI,1998,PADDY,7170.0,15100.0,2106.0,10.43,6.06,17.09,3.81,59.75,52.55,790.87,7.95,21.87,25.76,27.35,14.98,1.94,3.12,2.77,2.39
ARGHAKHANCHI,1999,PADDY,7700.0,13090.0,1700.0,7.73,4.55,15.91,3.76,64.71,52.37,375.09,15.68,21.06,27.11,27.94,16.2,2.16,3.4,2.76,2.41
ARGHAKHANCHI,2000,PADDY,7700.0,13900.0,1805.0,8.45,5.54,17.26,3.17,4.4,67.89,822.62,8.67,20.99,26.58,26.47,14.99,2.05,3.15,2.6,2.47
ARGHAKHANCHI,2001,PADDY,7710.0,17010.0,2206.0,8.96,6.07,17.01,3.42,46.34,70.76,668.24,0.5,20.88,26.35,27.34,15.29,2.04,3.08,2.37,2.31
ARGHAKHANCHI,2002,PADDY,7700.0,13900.0,1805.0,7.58,6.08,15.04,4.11,11.57,40.25,339.48,54.01,21.69,26.75,28.66,15.44,2.22,3.09,2.75,2.39
ARGHAKHANCHI,2003,PADDY,7700.0,13900.0,1805.0,7.96,4.98,16.41,4.38,16.27,19.43,514.94,37.67,21.04,26.25,27.74,14.92,2.12,3.07,2.68,2.32
ARGHAKHANCHI,2004,PADDY,7700.0,13900.0,1805.0,8.88,6.41,17.52,4.74,55.28,96.13,1025.48,36.22,19.7,27.12,25.96,15.1,1.85,3.19,2.62,2.17
ARGHAKHANCHI,2005,PADDY,7700.0,13900.0,1805.0,10.18,5.9,16.77,5.11,212.3,56.1,1044.31,48.63,19.4,25.98,26.96,15.24,1.77,3.04,2.58,2.35
ARGHAKHANCHI,2006,PADDY,7419.0,14500.0,1954.0,9.93,7.9,17.85,4.99,42.55,202.8,1046.31,10.72,20.43,25.24,25.96,16.11,1.86,2.7,2.42,2.32
ARGHAKHANCHI,2007,PADDY,7419.0,14500.0,1954.0,11.1,8.48,17.39,4.95,42.88,134.03,1314.52,120.06,19.75,25.33,26.55,14.25,1.65,2.81,2.58,2.14
ARGHAKHANCHI,2008,PADDY,8735.0,19545.0,2238.0,11.64,6.51,18.4,5.36,43.45,107.81,1807.53,10.08,20.03,25.9,25.3,14.73,1.65,2.87,2.34,2.05
ARGHAKHANCHI,2009,PADDY,8720.0,19220.0,2204.0,9.59,6.68,16.98,5.03,103.36,135.26,952.05,9.7,19.95,26.03,27.06,15.86,2.1,3.01,2.39,2.35
ARGHAKHANCHI,2010,PADDY,8768.0,22796.8,2600.0,12.02,6.09,17.16,4.83,48.24,33.53,1231.97,22.92,20.28,27.91,27.0,15.08,1.8,3.35,2.7,2.16
ARGHAKHANCHI,2011,PADDY,8189.0,26204.8,3200.0,11.1,7.62,17.72,5.01,6.2,144.21,1250.54,24.97,20.14,25.43,26.05,14.32,1.78,2.89,2.58,2.17
ARGHAKHANCHI,2012,PADDY,8672.0,25437.0,2933.0,10.36,5.63,16.65,5.13,42.14,39.28,1312.65,47.44,18.6,26.19,27.16,14.25,1.76,3.26,2.49,2.37
ARGHAKHANCHI,2013,PADDY,8672.0,26306.0,3033.0,11.83,7.35,18.33,5.96,203.65,118.85,1546.85,90.81,19.74,25.62,25.66,14.07,1.83,3.13,2.24,2.24
ARGHAKHANCHI,2014,PADDY,8189.0,25386.0,3100.0,10.4,7.15,17.48,5.72,124.38,98.17,1393.87,75.26,19.72,25.79,27.03,14.45,1.88,3.23,2.34,2.25
ARGHAKHANCHI,2015,PADDY,8050.0,23345.0,2900.0,9.2,8.76,17.17,5.61,35.29,223.68,1129.95,57.51,21.44,24.89,27.01,15.25,1.94,2.85,2.46,2.21
ARGHAKHANCHI,2016,PADDY,8050.0,21767.0,2704.0,10.48,6.95,18.5,4.6,113.39,171.64,1282.51,10.61,20.54,27.19,26.34,16.14,1.85,3.39,2.3,2.34
ARGHAKHANCHI,2017,PADDY,7620.0,21441.0,2814.0,11.1,7.74,18.34,5.28,22.48,184.72,1341.83,21.02,21.16,26.1,26.76,16.54,1.9,2.79,2.53,2.23
ARGHAKHANCHI,2018,PADDY,7425.0,24131.0,3250.0,9.46,8.17,18.51,4.63,0.03,7.33,43.72,0.34,20.16,25.74,26.44,15.11,2.04,2.91,2.58,2.28
ARGHAKHANCHI,2019,PADDY,6819.0,22597.0,3310.0,11.92,7.53,18.05,5.71,0.96,4.01,42.83,5.43,19.94,25.6,26.99,14.39,1.71,3.01,2.63,2.3
BAGLUNG,1981,PADDY,3020.0,7550.0,2500.0,6.99,6.29,13.51,3.75,39.03,151.52,941.49,63.0,11.14,14.72,18.39,5.93,1.75,2.46,2.23,1.85
BAGLUNG,1982,PADDY,4600.0,10350.0,2250.0,6.7,5.85,12.94,3.58,10.89,64.04,660.38,83.15,11.38,14.42,18.66,6.06,1.82,2.56,2.23,1.84
BAGLUNG,1983,PADDY,4600.0,10380.0,2257.0,7.03,5.02,12.61,2.73,108.24,71.37,407.71,9.55,11.76,14.63,19.28,5.63,1.85,2.76,2.36,1.92
BAGLUNG,1984,PADDY,4900.0,8820.0,1800.0,6.36,4.58,13.67,2.8,23.76,25.23,826.21,27.91,11.37,16.79,18.07,6.22,1.83,2.84,2.25,1.98
BAGLUNG,1985,PADDY,5000.0,9000.0,1800.0,7.93,4.29,12.84,3.34,80.75,30.48,612.03,47.32,11.11,16.71,18.62,6.2,1.72,2.84,2.32,1.91
BAGLUNG,1986,PADDY,5020.0,9030.0,1799.0,5.43,4.4,12.49,3.12,25.42,34.23,487.19,42.84,11.71,15.0,18.47,6.45,1.96,2.79,2.3,1.99
BAGLUNG,1987,PADDY,5050.0,10100.0,2000.0,6.37,4.4,12.52,2.99,101.03,34.29,605.94,19.01,11.9,15.36,19.31,7.56,1.78,2.75,2.35,1.97
BAGLUNG,1988,PADDY,5010.0,10180.0,2032.0,6.86,4.86,13.82,3.34,12.97,81.52,798.31,34.52,11.92,16.12,18.59,7.84,1.84,2.78,2.23,1.92
BAGLUNG,1990,PADDY,5190.0,12060.0,2324.0,7.17,5.12,13.63,3.23,8.95,33.17,820.41,27.51,11.96,15.16,18.66,7.66,1.84,2.74,2.22,1.93
BAGLUNG,1991,PADDY,4960.0,11250.0,2268.0,5.46,3.89,13.48,3.06,3.55,40.51,424.9,38.34,11.72,16.29,19.03,6.79,1.95,2.86,2.37,1.97
BAGLUNG,1992,PADDY,4900.0,9800.0,2000.0,6.72,3.91,12.52,2.92,77.86,18.27,502.93,3.44,11.92,16.34,18.69,6.32,1.86,3.0,2.37,1.95
BAGLUNG,1993,PADDY,4750.0,8850.0,1863.0,5.42,4.64,13.13,2.57,3.87,71.62,466.56,7.86,12.58,14.79,18.94,7.61,1.98,2.79,2.38,1.98
BAGLUNG,1994,PADDY,4759.0,10476.0,2201.0,5.49,4.15,13.22,2.69,3.16,13.32,475.24,20.73,11.82,16.27,19.28,6.98,2.04,2.88,2.3,2.08
BAGLUNG,1995,PADDY,4762.0,10000.0,2100.0,6.1,4.25,13.52,2.83,37.63,26.57,535.74,22.85,12.56,16.19,18.85,6.08,1.98,2.91,2.3,2.05
BAGLUNG,1996,PADDY,4820.0,10600.0,2199.0,6.41,4.72,13.39,2.8,42.6,71.8,460.23,58.75,12.16,16.21,18.46,6.83,1.88,2.82,2.26,2.0
BAGLUNG,1997,PADDY,5508.0,13120.0,2382.0,5.43,4.33,12.6,2.5,4.67,38.79,259.9,21.53,11.72,14.73,19.36,5.78,2.02,2.74,2.5,2.06
BAGLUNG,1998,PADDY,5348.0,12736.0,2381.0,7.84,5.11,13.72,2.69,47.06,48.11,574.51,4.16,13.62,15.61,19.37,7.16,1.84,2.73,2.4,2.03
BAGLUNG,1999,PADDY,5508.0,13120.0,2382.0,5.82,4.02,13.07,2.66,50.86,56.42,286.89,11.23,12.73,16.83,19.2,8.05,1.96,2.87,2.46,2.05
BAGLUNG,2000,PADDY,5558.0,14437.0,2598.0,6.64,4.84,13.81,2.44,8.24,59.97,611.2,6.05,12.58,15.88,18.36,6.53,1.9,2.76,2.29,2.04
BAGLUNG,2001,PADDY,5558.0,14954.0,2691.0,6.77,5.37,13.79,2.51,18.85,71.9,527.13,0.29,12.72,15.6,19.02,7.56,1.88,2.67,2.29,2.02
BAGLUNG,2002,PADDY,5560.0,14430.0,2595.0,5.78,5.27,12.49,2.88,11.41,45.87,273.56,42.01,12.74,16.13,19.39,7.16,2.05,2.71,2.44,1.99
BAGLUNG,2003,PADDY,5520.0,14962.0,2711.0,5.92,4.48,13.36,3.02,15.84,19.38,396.66,40.7,12.86,15.57,19.22,6.75,1.94,2.72,2.39,2.0
BAGLUNG,2004,PADDY,5580.0,12847.0,2302.0,7.12,5.63,14.06,3.51,71.38,130.02,982.19,29.57,10.84,16.61,17.97,7.09,1.72,2.68,2.12,1.86
BAGLUNG,2005,PADDY,5717.0,14411.0,2521.0,7.33,5.21,13.47,3.86,203.86,57.1,882.89,51.67,10.86,15.15,18.8,6.54,1.64,2.55,2.23,1.81
BAGLUNG,2006,PADDY,5337.0,11971.0,2243.0,7.55,6.58,14.24,3.89,41.2,202.32,929.1,15.49,11.6,14.79,18.1,8.59,1.76,2.44,2.11,1.84
BAGLUNG,2007,PADDY,5735.0,12156.0,2120.0,8.2,6.96,14.09,3.66,42.61,128.91,1099.28,112.47,11.9,15.01,18.46,6.38,1.64,2.35,2.23,1.79
BAGLUNG,2008,PADDY,5735.0,14900.0,2598.0,8.52,5.66,14.39,4.08,46.92,117.48,1496.03,10.07,12.2,15.25,17.75,6.67,1.63,2.58,2.04,1.79
BAGLUNG,2009,PADDY,5700.0,13500.0,2368.0,7.22,5.68,13.65,3.75,79.57,145.99,822.14,7.12,11.7,15.59,18.71,8.06,1.76,2.57,2.21,1.98
BAGLUNG,2010,PADDY,5792.0,17121.0,2956.0,8.82,5.33,13.76,3.49,44.87,34.37,1010.25,17.3,12.42,17.27,18.8,7.05,1.67,2.78,2.32,1.94
BAGLUNG,2011,PADDY,5934.0,17147.0,2890.0,8.62,6.43,14.07,3.73,12.64,163.87,1067.64,18.22,12.02,14.98,18.15,6.44,1.68,2.5,2.18,1.87
BAGLUNG,2012,PADDY,5934.0,18316.0,3087.0,7.4,5.01,13.48,3.79,69.09,47.14,1276.44,34.35,10.82,15.49,18.93,6.09,1.76,2.74,2.28,1.93
BAGLUNG,2013,PADDY,5927.0,18897.0,3188.0,8.74,6.31,14.49,4.27,214.67,168.16,1429.04,82.51,12.0,15.29,17.94,6.03,1.65,2.66,2.12,1.87
BAGLUNG,2014,PADDY,5782.0,17715.0,3064.0,7.94,6.39,14.22,4.29,116.02,143.89,1659.2,63.69,11.82,15.0,18.59,6.63,1.74,2.56,2.18,1.81
BAGLUNG,2015,PADDY,5874.0,17849.0,3039.0,7.82,7.44,14.15,4.47,79.48,318.84,1502.91,62.72,12.36,14.11,18.55,6.4,1.71,2.28,2.15,1.84
BAGLUNG,2016,PADDY,5570.0,17926.0,3218.0,8.22,6.34,14.86,3.98,168.33,207.84,1522.94,10.92,12.56,16.12,18.34,7.93,1.7,2.56,2.17,1.82
BAGLUNG,2017,PADDY,5272.0,17657.0,3349.0,8.86,7.08,14.74,4.23,49.79,348.84,1466.45,13.94,12.62,14.61,18.57,8.14,1.78,2.29,2.22,1.85
BAGLUNG,2018,PADDY,5987.0,21374.0,3570.0,7.4,7.2,14.88,3.77,0.08,12.89,39.0,0.38,11.33,14.77,18.37,7.07,1.8,2.39,2.09,1.87
BAGLUNG,2019,PADDY,5580.0,19132.0,3430.0,9.01,6.8,14.58,4.27,2.65,8.83,44.24,5.95,12.49,14.43,18.55,5.46,1.62,2.38,2.14,1.84
BAITADI,1981,PADDY,3300.0,6600.0,2000.0,4.29,5.05,11.2,2.76,31.95,148.29,514.35,70.54,6.82,10.49,15.62,0.89,2.04,2.49,2.3,2.06
BAITADI,1982,PADDY,3300.0,6270.0,1900.0,4.69,5.55,10.39,2.71,5.16,91.68,317.28,84.61,7.56,9.28,15.74,1.3,2.02,2.58,2.45,1.95
BAITADI,1983,PADDY,3500.0,5940.0,1697.0,4.86,4.66,10.72,2.3,52.21,78.98,431.18,25.65,7.04,9.49,16.01,0.85,1.99,2.67,2.36,2.02
BAITADI,1984,PADDY,3450.0,5040.0,1461.0,3.82,4.09,11.46,2.22,6.45,26.56,334.38,58.1,7.51,11.98,15.7,0.76,2.13,2.81,2.45,2.1
BAITADI,1985,PADDY,3300.0,3780.0,1145.0,5.5,3.8,11.05,2.37,63.67,52.04,387.47,66.12,7.22,12.01,15.69,1.12,1.92,2.78,2.42,2.11
BAITADI,1986,PADDY,4000.0,4240.0,1060.0,4.36,4.16,10.4,2.46,10.13,61.58,474.42,50.01,7.32,10.03,15.37,1.52,2.02,2.73,2.36,2.08
BAITADI,1987,PADDY,4050.0,5670.0,1400.0,3.06,4.3,9.34,2.24,18.73,65.13,158.42,34.52,8.9,10.36,17.02,3.11,2.17,2.63,2.66,2.07
BAITADI,1988,PADDY,4200.0,6300.0,1500.0,4.46,3.83,11.37,2.62,0.65,56.92,377.5,96.89,8.2,11.59,16.08,3.17,2.15,2.79,2.43,1.97
BAITADI,1990,PADDY,5000.0,9000.0,1800.0,4.47,4.79,11.4,2.55,3.28,57.52,297.26,63.79,8.2,10.24,16.39,3.34,2.08,2.62,2.44,2.02
BAITADI,1991,PADDY,5000.0,8500.0,1700.0,3.45,3.84,10.61,2.46,1.55,82.29,182.86,34.77,7.5,10.88,16.57,1.96,2.13,2.72,2.58,2.03
BAITADI,1992,PADDY,4970.0,8210.0,1652.0,4.55,3.5,10.38,2.34,46.43,17.7,230.59,7.47,7.99,11.04,16.0,2.35,2.04,2.73,2.61,2.03
BAITADI,1993,PADDY,5000.0,8500.0,1700.0,3.31,4.0,10.86,2.07,0.02,51.7,196.17,22.33,8.73,10.16,16.28,3.27,2.21,2.73,2.56,2.07
BAITADI,1994,PADDY,5000.0,8513.0,1703.0,4.4,3.84,11.08,2.44,0.04,22.56,291.86,38.59,7.76,11.42,16.4,2.05,2.13,2.8,2.42,2.1
BAITADI,1995,PADDY,5500.0,10405.0,1892.0,4.67,3.97,10.88,2.52,17.08,18.56,251.85,58.09,8.36,11.07,16.47,0.9,2.11,2.68,2.6,2.09
BAITADI,1996,PADDY,5510.0,10500.0,1906.0,4.86,4.41,11.62,2.35,13.05,50.33,323.29,73.64,7.98,11.23,15.89,2.3,2.01,2.68,2.5,2.03
BAITADI,1997,PADDY,5550.0,9450.0,1703.0,4.53,4.21,11.26,2.19,12.16,61.8,247.15,65.38,6.82,9.77,16.15,0.78,2.0,2.63,2.54,2.12
BAITADI,1998,PADDY,5550.0,10100.0,1820.0,5.47,4.52,11.5,2.36,49.72,88.93,213.77,7.67,9.31,10.85,16.93,2.6,2.1,2.63,2.6,2.07
BAITADI,1999,PADDY,5550.0,9450.0,1703.0,3.85,3.08,11.0,2.13,16.69,18.44,192.23,20.62,8.64,12.3,16.53,3.34,2.16,2.86,2.59,2.11
BAITADI,2000,PADDY,5325.0,9053.0,1700.0,4.42,4.12,11.94,2.07,0.65,89.71,433.86,23.28,8.57,11.47,15.36,1.86,2.08,2.73,2.33,2.09
BAITADI,2001,PADDY,5330.0,10660.0,2000.0,4.22,4.45,11.72,1.93,10.58,58.63,424.13,5.59,8.9,10.92,15.76,3.1,2.11,2.64,2.37,2.06
BAITADI,2002,PADDY,5325.0,9050.0,1700.0,4.41,4.14,10.12,2.36,5.19,28.93,263.43,96.5,8.18,11.91,16.3,2.06,2.1,2.72,2.53,2.1
BAITADI,2003,PADDY,5325.0,10500.0,1972.0,4.56,4.0,11.4,2.6,30.19,14.9,486.63,52.23,7.95,11.03,16.23,2.05,1.97,2.71,2.4,2.08
BAITADI,2004,PADDY,6100.0,14030.0,2300.0,5.01,4.61,11.42,2.66,35.1,109.23,493.09,29.27,7.1,12.39,15.32,2.86,1.94,2.71,2.31,2.01
BAITADI,2005,PADDY,5320.0,9050.0,1701.0,5.12,4.91,11.48,2.81,8.37,93.69,662.5,70.29,7.3,10.35,15.88,1.31,1.88,2.55,2.3,2.01
BAITADI,2006,PADDY,5320.0,8138.0,1530.0,5.43,5.61,11.8,2.73,19.2,147.55,519.0,24.37,7.9,10.33,15.47,4.32,1.96,2.49,2.27,1.99
BAITADI,2007,PADDY,5330.0,9660.0,1812.0,5.2,5.86,12.2,2.55,2.7,169.68,703.14,89.55,7.81,10.37,15.67,1.86,1.9,2.43,2.32,1.98
