ID,DISTRICT,YEAR,autumn_humidity,spring_humidity,summer_humidity,winter_humidity,autumn_rainfall,spring_rainfall,summer_rainfall,winter_rainfall,autumn_temperature,spring_temperature,summer_temperature,winter_temperature,autumn_wind_speed,spring_wind_speed,summer_wind_speed,winter_wind_speed
12.0,Arghakhanchi,1993.0,7.03,5.3,15.98,3.37,1.86,70.85,607.45,8.26,21.0,25.28,27.52,15.63,2.08,3.26,2.75,2.35
13.0,Arghakhanchi,1994.0,7.04,4.71,16.33,3.72,5.69,11.39,636.29,31.4,20.78,26.96,27.72,15.6,2.16,3.4,2.66,2.52
14.0,Arghakhanchi,1995.0,7.94,4.69,16.74,3.77,42.06,13.19,663.11,32.91,21.3,27.01,27.26,14.96,2.11,3.66,2.68,2.53
15.0,Arghakhanchi,1996.0,8.26,5.36,16.55,3.93,60.83,49.66,586.52,77.79,20.44,26.79,27.09,14.98,2.14,3.45,2.52,2.43
16.0,Arghakhanchi,1997.0,7.15,4.88,15.3,3.43,15.71,40.41,342.45,33.01,20.96,25.5,28.13,14.35,2.22,3.3,2.8,2.49
17.0,Arghakhanchi,1998.0,10.43,6.06,17.09,3.81,59.75,52.55,790.87,7.95,21.87,25.76,27.35,14.98,1.94,3.12,2.77,2.39
18.0,Arghakhanchi,1999.0,7.73,4.55,15.91,3.76,64.71,52.37,375.09,15.68,21.06,27.11,27.94,16.2,2.16,3.4,2.76,2.41
19.0,Arghakhanchi,2000.0,8.45,5.54,17.26,3.17,4.4,67.89,822.62,8.67,20.99,26.58,26.47,14.99,2.05,3.15,2.6,2.47
20.0,Arghakhanchi,2001.0,8.96,6.07,17.01,3.42,46.34,70.76,668.24,0.5,20.88,26.35,27.34,15.29,2.04,3.08,2.37,2.31
21.0,Arghakhanchi,2002.0,7.58,6.08,15.04,4.11,11.57,40.25,339.48,54.01,21.69,26.75,28.66,15.44,2.22,3.09,2.75,2.39
22.0,Arghakhanchi,2003.0,7.96,4.98,16.41,4.38,16.27,19.43,514.94,37.67,21.04,26.25,27.74,14.92,2.12,3.07,2.68,2.32
23.0,Arghakhanchi,2004.0,8.88,6.41,17.52,4.74,55.28,96.13,1025.48,36.22,19.7,27.12,25.96,15.1,1.85,3.19,2.62,2.17
24.0,Arghakhanchi,2005.0,10.18,5.9,16.77,5.11,212.3,56.1,1044.31,48.63,19.4,25.98,26.96,15.24,1.77,3.04,2.58,2.35
25.0,Arghakhanchi,2006.0,9.93,7.9,17.85,4.99,42.55,202.8,1046.31,10.72,20.43,25.24,25.96,16.11,1.86,2.7,2.42,2.32
26.0,Arghakhanchi,2007.0,11.1,8.48,17.39,4.95,42.88,134.03,1314.52,120.06,19.75,25.33,26.55,14.25,1.65,2.81,2.58,2.14
27.0,Arghakhanchi,2008.0,11.64,6.51,18.4,5.36,43.45,107.81,1807.53,10.08,20.03,25.9,25.3,14.73,1.65,2.87,2.34,2.05
28.0,Arghakhanchi,2009.0,9.59,6.68,16.98,5.03,103.36,135.26,952.05,9.7,19.95,26.03,27.06,15.86,2.1,3.01,2.39,2.35
29.0,Arghakhanchi,2010.0,12.02,6.09,17.16,4.83,48.24,33.53,1231.97,22.92,20.28,27.91,27.0,15.08,1.8,3.35,2.7,2.16
30.0,Arghakhanchi,2011.0,11.1,7.62,17.72,5.01,6.2,144.21,1250.54,24.97,20.14,25.43,26.05,14.32,1.78,2.89,2.58,2.17
31.0,Arghakhanchi,2012.0,10.36,5.63,16.65,5.13,42.14,39.28,1312.65,47.44,18.6,26.19,27.16,14.25,1.76,3.26,2.49,2.37
32.0,Arghakhanchi,2013.0,11.83,7.35,18.33,5.96,203.65,118.85,1546.85,90.81,19.74,25.62,25.66,14.07,1.83,3.13,2.24,2.24
33.0,Arghakhanchi,2014.0,10.4,7.15,17.48,5.72,124.38,98.17,1393.87,75.26,19.72,25.79,27.03,14.45,1.88,3.23,2.34,2.25
34.0,Arghakhanchi,2015.0,9.2,8.76,17.17,5.61,35.29,223.68,1129.95,57.51,21.44,24.89,27.01,15.25,1.94,2.85,2.46,2.21
35.0,Arghakhanchi,2016.0,10.48,6.95,18.5,4.6,113.39,171.64,1282.51,10.61,20.54,27.19,26.34,16.14,1.85,3.39,2.3,2.34
36.0,Arghakhanchi,2017.0,11.1,7.74,18.34,5.28,22.48,184.72,1341.83,21.02,21.16,26.1,26.76,16.54,1.9,2.79,2.53,2.23
37.0,Arghakhanchi,2018.0,9.46,8.17,18.51,4.63,0.03,7.33,43.72,0.34,20.16,25.74,26.44,15.11,2.04,2.91,2.58,2.28
38.0,Arghakhanchi,2019.0,11.92,7.53,18.05,5.71,0.96,4.01,42.83,5.43,19.94,25.6,26.99,14.39,1.71,3.01,2.63,2.3
39.0,Baglung,1981.0,6.99,6.29,13.51,3.75,39.03,151.52,941.49,63.0,11.14,14.72,18.39,5.93,1.75,2.46,2.23,1.85
40.0,Baglung,1982.0,6.7,5.85,12.94,3.58,10.89,64.04,660.38,83.15,11.38,14.42,18.66,6.06,1.82,2.56,2.23,1.84
41.0,Baglung,1983.0,7.03,5.02,12.61,2.73,108.24,71.37,407.71,9.55,11.76,14.63,19.28,5.63,1.85,2.76,2.36,1.92
42.0,Baglung,1984.0,6.36,4.58,13.67,2.8,23.76,25.23,826.21,27.91,11.37,16.79,18.07,6.22,1.83,2.84,2.25,1.98
43.0,Baglung,1985.0,7.93,4.29,12.84,3.34,80.75,30.48,612.03,47.32,11.11,16.71,18.62,6.2,1.72,2.84,2.32,1.91
44.0,Baglung,1986.0,5.43,4.4,12.49,3.12,25.42,34.23,487.19,42.84,11.71,15.0,18.47,6.45,1.96,2.79,2.3,1.99
45.0,Baglung,1987.0,6.37,4.4,12.52,2.99,101.03,34.29,605.94,19.01,11.9,15.36,19.31,7.56,1.78,2.75,2.35,1.97
46.0,Baglung,1988.0,6.86,4.86,13.82,3.34,12.97,81.52,798.31,34.52,11.92,16.12,18.59,7.84,1.84,2.78,2.23,1.92
47.0,Baglung,1989.0,5.54,4.23,13.58,2.77,9.71,54.67,555.68,44.39,11.94,15.9,18.53,6.04,2.05,2.84,2.26,2.03
48.0,Baglung,1990.0,7.17,5.12,13.63,3.23,8.95,33.17,820.41,27.51,11.96,15.16,18.66,7.66,1.84,2.74,2.22,1.93
49.0,Baglung,1991.0,5.46,3.89,13.48,3.06,3.55,40.51,424.9,38.34,11.72,16.29,19.03,6.79,1.95,2.86,2.37,1.97
50.0,Baglung,1992.0,6.72,3.91,12.52,2.92,77.86,18.27,502.93,3.44,11.92,16.34,18.69,6.32,1.86,3.0,2.37,1.95
51.0,Baglung,1993.0,5.42,4.64,13.13,2.57,3.87,71.62,466.56,7.86,12.58,14.79,18.94,7.61,1.98,2.79,2.38,1.98
52.0,Baglung,1994.0,5.49,4.15,13.22,2.69,3.16,13.32,475.24,20.73,11.82,16.27,19.28,6.98,2.04,2.88,2.3,2.08
53.0,Baglung,1995.0,6.1,4.25,13.52,2.83,37.63,26.57,535.74,22.85,12.56,16.19,18.85,6.08,1.98,2.91,2.3,2.05
54.0,Baglung,1996.0,6.41,4.72,13.39,2.8,42.6,71.8,460.23,58.75,12.16,16.21,18.46,6.83,1.88,2.82,2.26,2.0
55.0,Baglung,1997.0,5.43,4.33,12.6,2.5,4.67,38.79,259.9,21.53,11.72,14.73,19.36,5.78,2.02,2.74,2.5,2.06
56.0,Baglung,1998.0,7.84,5.11,13.72,2.69,47.06,48.11,574.51,4.16,13.62,15.61,19.37,7.16,1.84,2.73,2.4,2.03
57.0,Baglung,1999.0,5.82,4.02,13.07,2.66,50.86,56.42,286.89,11.23,12.73,16.83,19.2,8.05,1.96,2.87,2.46,2.05
58.0,Baglung,2000.0,6.64,4.84,13.81,2.44,8.24,59.97,611.2,6.05,12.58,15.88,18.36,6.53,1.9,2.76,2.29,2.04
59.0,Baglung,2001.0,6.77,5.37,13.79,2.51,18.85,71.9,527.13,0.29,12.72,15.6,19.02,7.56,1.88,2.67,2.29,2.02
60.0,Baglung,2002.0,5.78,5.27,12.49,2.88,11.41,45.87,273.56,42.01,12.74,16.13,19.39,7.16,2.05,2.71,2.44,1.99
61.0,Baglung,2003.0,5.92,4.48,13.36,3.02,15.84,19.38,396.66,40.7,12.86,15.57,19.22,6.75,1.94,2.72,2.39,2.0
62.0,Baglung,2004.0,7.12,5.63,14.06,3.51,71.38,130.02,982.19,29.57,10.84,16.61,17.97,7.09,1.72,2.68,2.12,1.86
63.0,Baglung,2005.0,7.33,5.21,13.47,3.86,203.86,57.1,882.89,51.67,10.86,15.15,18.8,6.54,1.64,2.55,2.23,1.81
64.0,Baglung,2006.0,7.55,6.58,14.24,3.89,41.2,202.32,929.1,15.49,11.6,14.79,18.1,8.59,1.76,2.44,2.11,1.84
65.0,Baglung,2007.0,8.2,6.96,14.09,3.66,42.61,128.91,1099.28,112.47,11.9,15.01,18.46,6.38,1.64,2.35,2.23,1.79
66.0,Baglung,2008.0,8.52,5.66,14.39,4.08,46.92,117.48,1496.03,10.07,12.2,15.25,17.75,6.67,1.63,2.58,2.04,1.79
67.0,Baglung,2009.0,7.22,5.68,13.65,3.75,79.57,145.99,822.14,7.12,11.7,15.59,18.71,8.06,1.76,2.57,2.21,1.98
68.0,Baglung,2010.0,8.82,5.33,13.76,3.49,44.87,34.37,1010.25,17.3,12.42,17.27,18.8,7.05,1.67,2.78,2.32,1.94
69.0,Baglung,2011.0,8.62,6.43,14.07,3.73,12.64,163.87,1067.64,18.22,12.02,14.98,18.15,6.44,1.68,2.5,2.18,1.87
70.0,Baglung,2012.0,7.4,5.01,13.48,3.79,69.09,47.14,1276.44,34.35,10.82,15.49,18.93,6.09,1.76,2.74,2.28,1.93
71.0,Baglung,2013.0,8.74,6.31,14.49,4.27,214.67,168.16,1429.04,82.51,12.0,15.29,17.94,6.03,1.65,2.66,2.12,1.87
72.0,Baglung,2014.0,7.94,6.39,14.22,4.29,116.02,143.89,1659.2,63.69,11.82,15.0,18.59,6.63,1.74,2.56,2.18,1.81
73.0,Baglung,2015.0,7.82,7.44,14.15,4.47,79.48,318.84,1502.91,62.72,12.36,14.11,18.55,6.4,1.71,2.28,2.15,1.84
74.0,Baglung,2016.0,8.22,6.34,14.86,3.98,168.33,207.84,1522.94,10.92,12.56,16.12,18.34,7.93,1.7,2.56,2.17,1.82
75.0,Baglung,2017.0,8.86,7.08,14.74,4.23,49.79,348.84,1466.45,13.94,12.62,14.61,18.57,8.14,1.78,2.29,2.22,1.85
76.0,Baglung,2018.0,7.4,7.2,14.88,3.77,0.08,12.89,39.0,0.38,11.33,14.77,18.37,7.07,1.8,2.39,2.09,1.87
77.0,Baglung,2019.0,9.01,6.8,14.58,4.27,2.65,8.83,44.24,5.95,12.49,14.43,18.55,5.46,1.62,2.38,2.14,1.84
78.0,Baitadi,1981.0,4.29,5.05,11.2,2.76,31.95,148.29,514.35,70.54,6.82,10.49,15.62,0.89,2.04,2.49,2.3,2.06
79.0,Baitadi,1982.0,4.69,5.55,10.39,2.71,5.16,91.68,317.28,84.61,7.56,9.28,15.74,1.3,2.02,2.58,2.45,1.95
80.0,Baitadi,1983.0,4.86,4.66,10.72,2.3,52.21,78.98,431.18,25.65,7.04,9.49,16.01,0.85,1.99,2.67,2.36,2.02
81.0,Baitadi,1984.0,3.82,4.09,11.46,2.22,6.45,26.56,334.38,58.1,7.51,11.98,15.7,0.76,2.13,2.81,2.45,2.1
82.0,Baitadi,1985.0,5.5,3.8,11.05,2.37,63.67,52.04,387.47,66.12,7.22,12.01,15.69,1.12,1.92,2.78,2.42,2.11
83.0,Baitadi,1986.0,4.36,4.16,10.4,2.46,10.13,61.58,474.42,50.01,7.32,10.03,15.37,1.52,2.02,2.73,2.36,2.08
84.0,Baitadi,1987.0,3.06,4.3,9.34,2.24,18.73,65.13,158.42,34.52,8.9,10.36,17.02,3.11,2.17,2.63,2.66,2.07
85.0,Baitadi,1988.0,4.46,3.83,11.37,2.62,0.65,56.92,377.5,96.89,8.2,11.59,16.08,3.17,2.15,2.79,2.43,1.97
86.0,Baitadi,1989.0,3.32,3.33,10.43,2.13,6.01,35.41,176.96,37.53,8.0,10.91,16.34,1.26,2.22,2.73,2.54,2.07
87.0,Baitadi,1990.0,4.47,4.79,11.4,2.55,3.28,57.52,297.26,63.79,8.2,10.24,16.39,3.34,2.08,2.62,2.44,2.02
88.0,Baitadi,1991.0,3.45,3.84,10.61,2.46,1.55,82.29,182.86,34.77,7.5,10.88,16.57,1.96,2.13,2.72,2.58,2.03
89.0,Baitadi,1992.0,4.55,3.5,10.38,2.34,46.43,17.7,230.59,7.47,7.99,11.04,16.0,2.35,2.04,2.73,2.61,2.03
90.0,Baitadi,1993.0,3.31,4.0,10.86,2.07,0.02,51.7,196.17,22.33,8.73,10.16,16.28,3.27,2.21,2.73,2.56,2.07
91.0,Baitadi,1994.0,4.4,3.84,11.08,2.44,0.04,22.56,291.86,38.59,7.76,11.42,16.4,2.05,2.13,2.8,2.42,2.1
92.0,Baitadi,1995.0,4.67,3.97,10.88,2.52,17.08,18.56,251.85,58.09,8.36,11.07,16.47,0.9,2.11,2.68,2.6,2.09
93.0,Baitadi,1996.0,4.86,4.41,11.62,2.35,13.05,50.33,323.29,73.64,7.98,11.23,15.89,2.3,2.01,2.68,2.5,2.03
94.0,Baitadi,1997.0,4.53,4.21,11.26,2.19,12.16,61.8,247.15,65.38,6.82,9.77,16.15,0.78,2.0,2.63,2.54,2.12
95.0,Baitadi,1998.0,5.47,4.52,11.5,2.36,49.72,88.93,213.77,7.67,9.31,10.85,16.93,2.6,2.1,2.63,2.6,2.07
96.0,Baitadi,1999.0,3.85,3.08,11.0,2.13,16.69,18.44,192.23,20.62,8.64,12.3,16.53,3.34,2.16,2.86,2.59,2.11
97.0,Baitadi,2000.0,4.42,4.12,11.94,2.07,0.65,89.71,433.86,23.28,8.57,11.47,15.36,1.86,2.08,2.73,2.33,2.09
98.0,Baitadi,2001.0,4.22,4.45,11.72,1.93,10.58,58.63,424.13,5.59,8.9,10.92,15.76,3.1,2.11,2.64,2.37,2.06
99.0,Baitadi,2002.0,4.41,4.14,10.12,2.36,5.19,28.93,263.43,96.5,8.18,11.91,16.3,2.06,2.1,2.72,2.53,2.1
100.0,Baitadi,2003.0,4.56,4.0,11.4,2.6,30.19,14.9,486.63,52.23,7.95,11.03,16.23,2.05,1.97,2.71,2.4,2.08
101.0,Baitadi,2004.0,5.01,4.61,11.42,2.66,35.1,109.23,493.09,29.27,7.1,12.39,15.32,2.86,1.94,2.71,2.31,2.01
102.0,Baitadi,2005.0,5.12,4.91,11.48,2.81,8.37,93.69,662.5,70.29,7.3,10.35,15.88,1.31,1.88,2.55,2.3,2.01
103.0,Baitadi,2006.0,5.43,5.61,11.8,2.73,19.2,147.55,519.0,24.37,7.9,10.33,15.47,4.32,1.96,2.49,2.27,1.99
104.0,Baitadi,2007.0,5.2,5.86,12.2,2.55,2.7,169.68,703.14,89.55,7.81,10.37,15.67,1.86,1.9,2.43,2.32,1.98
105.0,Baitadi,2008.0,6.01,4.72,12.43,2.83,15.14,79.74,756.5,12.66,8.38,10.82,14.93,2.22,1.81,2.58,2.17,1.99
106.0,Baitadi,2009.0,5.3,4.52,10.92,2.76,107.1,43.71,514.34,16.92,7.32,11.31,16.23,3.59,1.9,2.68,2.43,2.01
107.0,Baitadi,2010.0,6.42,4.39,11.43,2.74,38.76,23.08,831.57,46.13,8.24,12.82,15.82,2.19,1.84,2.75,2.32,2.11
108.0,Baitadi,2011.0,6.24,5.54,12.2,2.89,4.15,80.75,853.05,62.13,8.31,10.34,15.17,1.42,1.88,2.52,2.18,1.97
109.0,Baitadi,2012.0,6.01,4.56,11.56,3.03,5.06,45.35,541.81,48.33,7.24,10.41,16.31,0.81,1.89,2.56,2.48,1.99
110.0,Baitadi,2013.0,6.67,5.52,13.1,3.53,36.79,30.3,830.38,187.4,8.34,11.15,15.38,1.07,1.82,2.61,2.42,1.99
111.0,Baitadi,2014.0,5.8,5.63,11.92,3.15,38.68,85.38,492.42,135.83,8.34,10.06,16.28,1.66,2.01,2.52,2.54,2.0
112.0,Baitadi,2015.0,5.67,6.38,11.76,3.42,18.37,227.43,408.12,99.08,9.26,9.78,15.88,2.24,2.02,2.3,2.44,2.07
113.0,Baitadi,2016.0,5.26,5.68,12.71,2.54,4.51,109.21,473.22,28.5,9.37,11.93,15.99,4.18,2.08,2.58,2.49,2.0
114.0,Baitadi,2017.0,6.17,5.58,12.57,3.04,1.08,156.5,572.44,32.44,8.65,11.1,15.96,3.76,2.0,2.56,2.43,2.12
115.0,Baitadi,2018.0,5.54,5.31,12.6,2.75,0.53,4.16,18.77,0.63,7.32,11.48,16.05,3.13,1.9,2.66,2.45,2.07
116.0,Baitadi,2019.0,5.98,5.5,12.11,3.23,1.21,2.89,15.65,7.43,8.55,10.02,16.23,-0.06,1.92,2.49,2.41,2.14
117.0,Bajhang,1981.0,3.78,4.64,9.78,2.37,29.41,155.03,451.38,74.64,2.32,5.14,11.73,-4.35,2.19,2.56,2.49,2.25
118.0,Bajhang,1982.0,3.99,4.76,9.1,2.25,3.75,55.18,241.82,79.19,3.24,4.41,11.76,-3.81,2.16,2.8,2.68,2.2
119.0,Bajhang,1983.0,4.24,4.19,9.32,1.94,50.56,85.52,376.99,21.05,2.72,4.39,12.04,-3.99,2.09,2.88,2.58,2.29
120.0,Bajhang,1984.0,3.17,3.84,9.9,1.93,7.45,28.41,255.76,60.92,3.08,6.56,12.1,-4.25,2.33,2.93,2.72,2.44
121.0,Bajhang,1985.0,4.71,3.56,9.58,2.01,51.21,51.96,300.11,82.97,3.14,6.66,11.9,-4.42,2.11,3.0,2.67,2.37
122.0,Bajhang,1986.0,3.8,3.72,9.12,2.04,11.01,61.16,422.06,42.54,2.95,4.83,11.52,-3.43,2.14,2.94,2.6,2.3
123.0,Bajhang,1987.0,2.76,3.9,8.39,1.92,19.51,67.7,137.36,32.13,4.44,5.26,12.74,-1.82,2.37,2.76,2.93,2.27
124.0,Bajhang,1988.0,3.84,3.51,9.95,2.2,0.83,57.05,321.95,92.03,3.68,6.25,12.33,-1.75,2.24,2.99,2.7,2.23
125.0,Bajhang,1989.0,3.04,3.04,9.19,1.78,4.96,31.88,155.89,34.26,3.28,5.71,12.36,-3.69,2.34,3.0,2.83,2.49
126.0,Bajhang,1990.0,3.8,4.22,9.85,2.15,2.44,55.47,236.3,53.8,3.83,5.25,12.69,-1.47,2.22,2.82,2.67,2.32
127.0,Bajhang,1991.0,2.96,3.47,9.31,2.07,1.18,84.56,130.29,30.17,2.95,5.57,12.75,-2.86,2.33,2.91,2.86,2.3
128.0,Bajhang,1992.0,3.96,3.22,9.15,1.96,43.62,20.02,205.06,5.39,3.71,5.89,12.06,-2.44,2.17,3.05,2.84,2.38
129.0,Bajhang,1993.0,2.86,3.59,9.4,1.79,0.02,48.16,126.93,15.31,4.33,4.92,12.55,-1.37,2.38,2.97,2.85,2.43
130.0,Bajhang,1994.0,3.68,3.46,9.54,2.02,0.12,19.6,190.33,27.9,3.3,6.25,12.78,-2.87,2.26,2.99,2.75,2.44
131.0,Bajhang,1995.0,3.9,3.64,9.41,2.09,21.56,16.92,170.41,49.93,3.96,5.8,12.72,-4.0,2.28,2.9,2.91,2.33
132.0,Bajhang,1996.0,4.0,3.9,9.94,1.89,11.53,44.53,182.57,59.17,3.84,6.11,12.35,-2.51,2.23,2.93,2.8,2.37
133.0,Bajhang,1997.0,3.83,3.67,9.67,1.77,5.71,46.49,166.64,60.08,2.34,4.81,12.57,-4.29,2.13,2.81,2.8,2.46
134.0,Bajhang,1998.0,4.42,3.99,9.93,1.87,27.39,79.51,124.49,7.16,5.15,5.82,13.37,-2.18,2.3,2.83,2.91,2.35
135.0,Bajhang,1999.0,3.24,2.83,9.54,1.76,14.35,21.3,129.97,15.58,4.23,7.16,12.85,-1.38,2.33,3.09,2.89,2.31
136.0,Bajhang,2000.0,3.82,3.68,10.26,1.72,0.59,73.47,332.45,20.52,4.28,6.33,11.84,-2.92,2.3,2.88,2.61,2.42
137.0,Bajhang,2001.0,3.6,3.98,10.04,1.67,11.89,42.29,319.78,1.49,4.56,5.86,12.26,-1.76,2.28,2.74,2.68,2.45
138.0,Bajhang,2002.0,3.6,3.7,8.89,1.91,5.08,16.24,169.27,75.36,3.78,6.83,12.38,-2.75,2.25,2.89,2.82,2.37
139.0,Bajhang,2003.0,3.58,3.61,9.86,2.03,25.25,8.96,316.52,43.27,3.77,5.89,12.59,-2.84,2.2,2.92,2.71,2.36
140.0,Bajhang,2004.0,4.24,4.12,9.91,2.13,29.87,111.56,397.03,23.38,2.82,7.29,11.71,-1.76,2.05,2.9,2.56,2.28
141.0,Bajhang,2005.0,4.3,4.32,9.96,2.32,20.68,91.95,542.47,65.73,2.93,5.31,12.05,-3.9,2.06,2.75,2.48,2.18
142.0,Bajhang,2006.0,4.59,4.93,10.26,2.38,18.95,146.51,452.81,24.48,3.39,5.14,11.81,-0.57,2.11,2.63,2.49,2.31
143.0,Bajhang,2007.0,4.47,5.15,10.6,2.14,4.22,182.61,592.98,93.95,3.61,4.92,12.02,-3.2,2.05,2.54,2.53,2.24
144.0,Bajhang,2008.0,4.92,4.35,10.72,2.48,11.17,84.91,634.2,12.54,4.15,5.57,11.48,-2.59,2.01,2.67,2.36,2.33
145.0,Bajhang,2009.0,4.46,4.2,9.48,2.41,100.52,42.87,410.84,16.54,3.0,6.02,12.29,-1.41,2.08,2.84,2.68,2.22
146.0,Bajhang,2010.0,5.22,4.12,9.96,2.28,43.47,24.39,628.61,39.52,3.89,7.42,12.04,-2.74,2.02,2.93,2.58,2.31
147.0,Bajhang,2011.0,5.21,4.96,10.54,2.44,2.2,72.66,697.5,59.59,4.37,5.3,11.64,-3.72,2.09,2.62,2.43,2.27
148.0,Bajhang,2012.0,5.0,4.24,10.17,2.57,5.01,47.26,448.64,47.69,2.78,5.13,12.44,-4.33,2.06,2.72,2.72,2.26
149.0,Bajhang,2013.0,5.59,5.0,11.32,2.85,46.35,38.58,686.33,172.6,4.08,5.66,11.95,-4.09,2.0,2.72,2.64,2.26
150.0,Bajhang,2014.0,5.06,5.03,10.44,2.63,42.99,74.59,407.03,114.28,3.88,4.86,12.44,-3.71,2.14,2.66,2.76,2.28
151.0,Bajhang,2015.0,4.9,5.55,10.26,2.84,19.83,224.37,342.93,95.41,4.81,4.56,12.02,-3.25,2.13,2.37,2.64,2.3
152.0,Bajhang,2016.0,4.6,5.07,11.02,2.21,7.54,98.79,396.65,33.43,4.96,6.8,12.49,-0.69,2.28,2.72,2.76,2.28
153.0,Bajhang,2017.0,5.39,4.97,10.9,2.59,2.08,148.62,476.15,26.76,4.36,5.81,12.36,-1.14,2.12,2.73,2.7,2.36
154.0,Bajhang,2018.0,4.64,4.78,10.9,2.37,0.4,4.53,16.41,0.56,2.92,6.3,12.38,-1.64,2.09,2.77,2.66,2.36
155.0,Bajhang,2019.0,5.16,4.9,10.58,2.67,1.05,3.11,14.13,7.16,4.26,4.5,12.42,-5.23,2.08,2.59,2.63,2.4
156.0,Banke,1981.0,8.51,7.2,16.63,5.19,54.69,158.41,1090.76,81.86,18.74,24.77,26.59,13.83,1.96,2.66,2.47,2.12
157.0,Banke,1982.0,8.52,7.73,15.65,4.93,15.34,120.99,889.93,139.2,19.36,23.81,27.29,13.71,2.04,3.03,2.32,2.28
158.0,Banke,1983.0,9.87,5.78,15.31,4.17,94.08,56.82,873.87,45.82,18.84,24.72,27.98,13.25,1.88,3.15,2.48,2.25
159.0,Banke,1984.0,7.2,5.82,16.66,4.09,23.3,35.7,784.26,60.19,19.7,26.37,26.61,13.43,2.09,3.12,2.31,2.42
160.0,Banke,1985.0,10.3,4.78,15.86,4.34,145.83,65.74,847.21,48.96,18.24,26.8,27.02,14.19,1.81,3.38,2.49,2.38
161.0,Banke,1986.0,7.21,5.4,15.22,4.69,23.47,47.14,801.12,60.19,19.58,25.09,26.84,13.95,2.1,3.09,2.34,2.24
162.0,Banke,1987.0,6.54,5.53,13.92,3.89,63.22,67.77,451.18,39.41,20.3,25.19,29.16,15.27,2.01,3.22,2.38,2.15
163.0,Banke,1988.0,8.74,5.45,17.14,4.39,5.01,90.35,1165.05,107.58,20.06,26.36,26.78,15.43,1.96,3.05,2.36,2.17
164.0,Banke,1989.0,6.42,4.6,16.27,3.71,6.67,26.94,684.89,57.58,20.52,25.64,27.26,13.75,2.2,3.52,2.34,2.5
165.0,Banke,1990.0,8.56,6.23,16.7,4.27,9.69,64.05,914.11,81.39,20.06,25.27,26.92,15.44,1.96,2.99,2.28,2.44
166.0,Banke,1991.0,6.82,4.3,15.9,4.12,6.43,30.24,605.84,51.0,19.57,26.74,27.9,14.93,2.12,3.17,2.47,2.35
167.0,Banke,1992.0,8.02,4.62,15.25,3.99,53.7,25.14,744.1,7.27,19.88,25.93,27.28,14.3,2.1,3.7,2.46,2.3
168.0,Banke,1993.0,5.66,5.16,15.47,3.29,0.16,85.63,491.01,19.33,21.06,24.89,27.84,15.33,2.2,3.08,2.48,2.34
169.0,Banke,1994.0,6.56,4.77,15.87,3.79,1.72,20.8,564.17,47.08,20.49,26.52,27.93,15.09,2.22,3.2,2.44,2.48
170.0,Banke,1995.0,7.2,4.64,15.69,3.81,18.14,7.24,532.99,35.67,21.16,26.51,28.05,14.51,2.14,3.26,2.52,2.46
171.0,Banke,1996.0,7.95,5.25,16.1,3.82,44.0,26.2,501.58,86.71,20.12,26.43,27.36,14.7,2.12,3.21,2.47,2.42
